competition,stage,match_date,home_away,team,opponent,final_score,player_position,goal_minute,score_after_goal,goal_method,assist_player,season,goal_decade,is_home_goal,goal_minute_bucket
Premier League ,29,14/03/09,Home,Manchester United,Liverpool FC,1:4,CF,22',1:0,Penalty,Not Applicable,2008/09,2000s,1,16-30
Premier League ,31,05/04/09,Home,Manchester United,Aston Villa,3:2,RW,11',1:0,Direct free kick,Not Applicable,2008/09,2000s,1,01-15
Premier League ,31,05/04/09,Home,Manchester United,Aston Villa,3:2,RW,80',2:2,Left-footed shot,Michael Carrick,2008/09,2000s,1,76-90
UEFA Champions League ,Quarter-Finals,15/04/09,Away,Manchester United,FC Porto,0:1,RW,6',0:1,Long distance kick,Anderson,2008/09,2000s,0,01-15
Premier League ,34,25/04/09,Home,Manchester United,Tottenham Hotspur,5:2,RW,57',1:2,Penalty,Not Applicable,2008/09,2000s,1,46-60
Premier League ,34,25/04/09,Home,Manchester United,Tottenham Hotspur,5:2,RW,68',3:2,Header,Wayne Rooney,2008/09,2000s,1,61-75
UEFA Champions League ,Semi-Finals,05/05/09,Away,Manchester United,Arsenal FC,1:3,CF,11',0:2,Direct free kick,Not Applicable,2008/09,2000s,0,01-15
UEFA Champions League ,Semi-Finals,05/05/09,Away,Manchester United,Arsenal FC,1:3,CF,61',0:3,Right-footed shot,Wayne Rooney,2008/09,2000s,0,61-75
Premier League ,36,10/05/09,Home,Manchester United,Manchester City,2:0,LW,17',1:0,Direct free kick,Not Applicable,2008/09,2000s,1,16-30
LaLiga ,1,29/08/09,Home,Real Madrid,Deportivo de La Coruña,3:2,LW,35',2:1,Penalty,Not Applicable,2009/10,2000s,1,31-45
LaLiga ,2,12/09/09,Away,Real Madrid,RCD Espanyol Barcelona,0:3,CF,90',0:3,Right-footed shot,Guti,2009/10,2000s,0,76-90
UEFA Champions League ,Group Stage,15/09/09,Away,Real Madrid,FC Zürich,2:5,CF,27',0:1,Direct free kick,Not Applicable,2009/10,2000s,0,16-30
UEFA Champions League ,Group Stage,15/09/09,Away,Real Madrid,FC Zürich,2:5,CF,89',2:4,Direct free kick,Not Applicable,2009/10,2000s,0,76-90
LaLiga ,3,20/09/09,Home,Real Madrid,Xerez CD,5:0,CF,1',1:0,Right-footed shot,Not Applicable,2009/10,2000s,1,01-15
LaLiga ,3,20/09/09,Home,Real Madrid,Xerez CD,5:0,CF,75',2:0,Header,Esteban Granero,2009/10,2000s,1,61-75
LaLiga ,4,23/09/09,Away,Real Madrid,Villarreal CF,0:2,LW,2',0:1,Right-footed shot,Not Applicable,2009/10,2000s,0,01-15
UEFA Champions League ,Group Stage,30/09/09,Home,Real Madrid,Olympique Marseille,3:0,CF,58',1:0,Left-footed shot,Pepe,2009/10,2000s,1,46-60
UEFA Champions League ,Group Stage,30/09/09,Home,Real Madrid,Olympique Marseille,3:0,CF,64',3:0,Right-footed shot,Karim Benzema,2009/10,2000s,1,61-75
