competition,stage,match_date,home_away,team,opponent,final_score,player_position,goal_minute,score_after_goal,goal_method,assist_player,season,goal_decade,is_home_goal,goal_minute_bucket
LaLiga ,8,14/10/17,Away,Real Madrid,Getafe CF,1:2,CF,85',1:2,Right-footed shot,Isco,2017/18,2010s,0,76-90
UEFA Champions League ,Group Stage,17/10/17,Home,Real Madrid,Tottenham Hotspur,1:1,LW,43',1:1,Penalty,Not Applicable,2017/18,2010s,1,31-45
UEFA Champions League ,Group Stage,01/11/17,Away,Real Madrid,Tottenham Hotspur,3:1,LW,80',3:1,Right-footed shot,Borja Mayoral,2017/18,2010s,0,76-90
UEFA Champions League ,Group Stage,21/11/17,Away,Real Madrid,APOEL Nicosia,0:6,LW,49',0:5,Header,Marcelo,2017/18,2010s,0,46-60
UEFA Champions League ,Group Stage,21/11/17,Away,Real Madrid,APOEL Nicosia,0:6,LW,54',0:6,Left-footed shot,Not Applicable,2017/18,2010s,0,46-60
LaLiga ,13,25/11/17,Home,Real Madrid,Málaga CF,3:2,CF,76',3:2,Penalty rebound,Not Applicable,2017/18,2010s,1,76-90
UEFA Champions League ,Group Stage,06/12/17,Home,Real Madrid,Borussia Dortmund,3:2,LW,12',2:0,Right-footed shot,Mateo Kovacic,2017/18,2010s,1,01-15
LaLiga ,15,09/12/17,Home,Real Madrid,Sevilla FC,5:0,CF,23',2:0,Right-footed shot,Marco Asensio,2017/18,2010s,1,16-30
LaLiga ,15,09/12/17,Home,Real Madrid,Sevilla FC,5:0,CF,31',3:0,Penalty,Not Applicable,2017/18,2010s,1,31-45
Club World Cup ,Semi-Finals,13/12/17,Away,Real Madrid,Al-Jazira Club,1:2,LW,53',1:1,Right-footed shot,Luka Modrić,2017/18,2010s,0,46-60
Club World Cup ,Final,16/12/17,Home,Real Madrid,Grêmio Foot-Ball Porto Alegrense,1:0,LW,53',1:0,Direct free kick,Not Applicable,2017/18,2010s,1,46-60
LaLiga ,20,21/01/18,Home,Real Madrid,Deportivo de La Coruña,7:1,LW,78',5:1,Left-footed shot,Casemiro,2017/18,2010s,1,76-90
LaLiga ,20,21/01/18,Home,Real Madrid,Deportivo de La Coruña,7:1,LW,84',6:1,Header,Lucas Vázquez,2017/18,2010s,1,76-90
LaLiga ,21,27/01/18,Away,Real Madrid,Valencia CF,1:4,LW,16',0:1,Penalty,Not Applicable,2017/18,2010s,0,16-30
LaLiga ,21,27/01/18,Away,Real Madrid,Valencia CF,1:4,LW,38',0:2,Penalty,Not Applicable,2017/18,2010s,0,31-45
LaLiga ,23,10/02/18,Home,Real Madrid,Real Sociedad,5:2,CF,27',2:0,Right-footed shot,Marcelo,2017/18,2010s,1,16-30
LaLiga ,23,10/02/18,Home,Real Madrid,Real Sociedad,5:2,CF,37',4:0,Header,Luka Modrić,2017/18,2010s,1,31-45
LaLiga ,23,10/02/18,Home,Real Madrid,Real Sociedad,5:2,CF,80',5:1,Tap-in,Not Applicable,2017/18,2010s,1,76-90
UEFA Champions League ,Round of 16,14/02/18,Home,Real Madrid,Paris Saint-Germain,3:1,LW,45',1:1,Penalty,Not Applicable,2017/18,2010s,1,31-45
UEFA Champions League ,Round of 16,14/02/18,Home,Real Madrid,Paris Saint-Germain,3:1,LW,83',2:1,Tap-in,Not Applicable,2017/18,2010s,1,76-90
LaLiga ,24,18/02/18,Away,Real Madrid,Real Betis Balompié,3:5,CF,65',2:4,Right-footed shot,Casemiro,2017/18,2010s,0,61-75
LaLiga ,25,24/02/18,Home,Real Madrid,Deportivo Alavés,4:0,CF,44',1:0,Left-footed shot,Karim Benzema,2017/18,2010s,1,31-45
LaLiga ,25,24/02/18,Home,Real Madrid,Deportivo Alavés,4:0,CF,61',3:0,Right-footed shot,Lucas Vázquez,2017/18,2010s,1,61-75
LaLiga ,27,03/03/18,Home,Real Madrid,Getafe CF,3:1,CF,45'+1,2:0,Left-footed shot,Karim Benzema,2017/18,2010s,1,31-45
LaLiga ,27,03/03/18,Home,Real Madrid,Getafe CF,3:1,CF,78',3:1,Header,Marcelo,2017/18,2010s,1,76-90
UEFA Champions League ,Round of 16,06/03/18,Away,Real Madrid,Paris Saint-Germain,1:2,CF,51',0:1,Header,Lucas Vázquez,2017/18,2010s,0,46-60
LaLiga ,28,10/03/18,Away,Real Madrid,SD Eibar,1:2,CF,33',0:1,Right-footed shot,Luka Modrić,2017/18,2010s,0,31-45
LaLiga ,28,10/03/18,Away,Real Madrid,SD Eibar,1:2,CF,84',1:2,Header,Daniel Carvajal,2017/18,2010s,0,76-90
LaLiga ,29,18/03/18,Home,Real Madrid,Girona FC,6:3,CF,11',1:0,Left-footed shot,Toni Kroos,2017/18,2010s,1,01-15
LaLiga ,29,18/03/18,Home,Real Madrid,Girona FC,6:3,CF,47',2:1,Left-footed shot,Karim Benzema,2017/18,2010s,1,46-60
LaLiga ,29,18/03/18,Home,Real Madrid,Girona FC,6:3,CF,64',4:1,Tap-in,Not Applicable,2017/18,2010s,1,61-75
LaLiga ,29,18/03/18,Home,Real Madrid,Girona FC,6:3,CF,90'+1,6:3,Right-footed shot,Toni Kroos,2017/18,2010s,1,76-90
UEFA Champions League ,Quarter-Finals,03/04/18,Away,Real Madrid,Juventus FC,0:3,CF,3',0:1,Right-footed shot,Isco,2017/18,2010s,0,01-15
UEFA Champions League ,Quarter-Finals,03/04/18,Away,Real Madrid,Juventus FC,0:3,CF,64',0:2,Right-footed shot,Daniel Carvajal,2017/18,2010s,0,61-75
LaLiga ,31,08/04/18,Home,Real Madrid,Atlético de Madrid,1:1,CF,53',1:0,Right-footed shot,Gareth Bale,2017/18,2010s,1,46-60
UEFA Champions League ,Quarter-Finals,11/04/18,Home,Real Madrid,Juventus FC,1:3,CF,90'+7,1:3,Penalty,Not Applicable,2017/18,2010s,1,76-90
LaLiga ,33,18/04/18,Home,Real Madrid,Athletic Bilbao,1:1,CF,87',1:1,Right-footed shot,Luka Modrić,2017/18,2010s,1,76-90
LaLiga ,36,06/05/18,Away,Real Madrid,FC Barcelona,2:2,LW,14',1:1,Right-footed shot,Karim Benzema,2017/18,2010s,0,01-15
LaLiga ,38,19/05/18,Away,Real Madrid,Villarreal CF,2:2,CF,32',0:2,Header,Marcelo,2017/18,2010s,0,31-45
Serie A ,4,16/09/18,Home,Juventus FC,US Sassuolo,2:1,SS,50',1:0,Tap-in,Not Applicable,2018/19,2010s,1,46-60
Serie A ,4,16/09/18,Home,Juventus FC,US Sassuolo,2:1,SS,65',2:0,Left-footed shot,Emre Can,2018/19,2010s,1,61-75
Serie A ,5,23/09/18,Away,Juventus FC,Frosinone Calcio,0:2,LW,81',0:1,Left-footed shot,Not Applicable,2018/19,2010s,0,76-90
Serie A ,8,06/10/18,Away,Juventus FC,Udinese Calcio,0:2,LW,37',0:2,Left-footed shot,Mario Mandžukić,2018/19,2010s,0,31-45
Serie A ,9,20/10/18,Home,Juventus FC,Genoa CFC,1:1,LW,18',1:0,Tap-in,João Cancelo,2018/19,2010s,1,16-30
Serie A ,10,27/10/18,Away,Juventus FC,FC Empoli,1:2,CF,54',1:1,Penalty,Not Applicable,2018/19,2010s,0,46-60
Serie A ,10,27/10/18,Away,Juventus FC,FC Empoli,1:2,CF,70',1:2,Right-footed shot,Blaise Matuidi,2018/19,2010s,0,61-75
UEFA Champions League ,Group Stage,07/11/18,Home,Juventus FC,Manchester United,1:2,LW,65',1:0,Right-footed shot,Leonardo Bonucci,2018/19,2010s,1,61-75
Serie A ,12,11/11/18,Away,Juventus FC,AC Milan,0:2,LW,81',0:2,Tap-in,João Cancelo,2018/19,2010s,0,76-90
Serie A ,13,24/11/18,Home,Juventus FC,SPAL,2:0,CF,29',1:0,Left-footed shot,Miralem Pjanić,2018/19,2010s,1,16-30
Serie A ,14,01/12/18,Away,Juventus FC,ACF Fiorentina,0:3,LW,79',0:3,Penalty,Not Applicable,2018/19,2010s,0,76-90
Serie A ,16,15/12/18,Away,Juventus FC,Torino FC,0:1,LW,70',0:1,Penalty,Not Applicable,2018/19,2010s,0,61-75
Serie A ,18,26/12/18,Away,Juventus FC,Atalanta BC,2:2,CF,78',2:2,Header,Giorgio Chiellini,2018/19,2010s,0,76-90
Serie A ,19,29/12/18,Home,Juventus FC,UC Sampdoria,2:1,LW,2',1:0,Right-footed shot,Paulo Dybala,2018/19,2010s,1,01-15
Serie A ,19,29/12/18,Home,Juventus FC,UC Sampdoria,2:1,LW,65',2:1,Penalty,Not Applicable,2018/19,2010s,1,61-75
Supercoppa Italiana ,Final,16/01/19,Home,Juventus FC,AC Milan,1:0,LW,61',1:0,Header,Miralem Pjanić,2018/19,2010s,1,61-75
Serie A ,21,27/01/19,Away,Juventus FC,SS Lazio,1:2,LW,88',1:2,Penalty,Not Applicable,2018/19,2010s,0,76-90
Serie A ,22,02/02/19,Home,Juventus FC,Parma Calcio 1913,3:3,LW,36',1:0,Right-footed shot,Blaise Matuidi,2018/19,2010s,1,31-45
Serie A ,22,02/02/19,Home,Juventus FC,Parma Calcio 1913,3:3,LW,66',3:1,Header,Mario Mandžukić,2018/19,2010s,1,61-75
Serie A ,23,10/02/19,Away,Juventus FC,US Sassuolo,0:3,LW,70',0:2,Header,Miralem Pjanić,2018/19,2010s,0,61-75
Serie A ,24,15/02/19,Home,Juventus FC,Frosinone Calcio,3:0,LW,63',3:0,Right-footed shot,Mario Mandžukić,2018/19,2010s,1,61-75
UEFA Champions League ,Round of 16,12/03/19,Home,Juventus FC,Atlético de Madrid,3:0,SS,27',1:0,Header,Federico Bernardeschi,2018/19,2010s,1,16-30
UEFA Champions League ,Round of 16,12/03/19,Home,Juventus FC,Atlético de Madrid,3:0,SS,49',2:0,Header,João Cancelo,2018/19,2010s,1,46-60
UEFA Champions League ,Round of 16,12/03/19,Home,Juventus FC,Atlético de Madrid,3:0,SS,86',3:0,Penalty,Not Applicable,2018/19,2010s,1,76-90
UEFA Champions League ,Quarter-Finals,10/04/19,Away,Juventus FC,Ajax Amsterdam,1:1,LW,45',0:1,Header,João Cancelo,2018/19,2010s,0,31-45
UEFA Champions League ,Quarter-Finals,16/04/19,Home,Juventus FC,Ajax Amsterdam,1:2,LW,28',1:0,Header,Miralem Pjanić,2018/19,2010s,1,16-30
Serie A ,34,27/04/19,Away,Juventus FC,Inter Milan,1:1,CF,62',1:1,Left-footed shot,Miralem Pjanić,2018/19,2010s,0,61-75
Serie A ,35,03/05/19,Home,Juventus FC,Torino FC,1:1,CF,84',1:1,Header,Leonardo Spinazzola,2018/19,2010s,1,76-90
Serie A ,2,31/08/19,Home,Juventus FC,SSC Napoli,4:3,LW,62',3:0,Left-footed shot,Douglas Costa,2019/20,2010s,1,61-75
Serie A ,4,21/09/19,Home,Juventus FC,Hellas Verona,2:1,LW,49',2:1,Penalty,Not Applicable,2019/20,2010s,1,46-60
Serie A ,6,28/09/19,Home,Juventus FC,SPAL,2:0,CF,78',2:0,Header,Paulo Dybala,2019/20,2010s,1,76-90
UEFA Champions League ,Group Stage,01/10/19,Home,Juventus FC,Bayer 04 Leverkusen,3:0,CF,89',3:0,Right-footed shot,Paulo Dybala,2019/20,2010s,1,76-90
Serie A ,8,19/10/19,Home,Juventus FC,Bologna FC 1909,2:1,CF,19',1:0,Right-footed shot,Not Applicable,2019/20,2010s,1,16-30
Serie A ,10,30/10/19,Home,Juventus FC,Genoa CFC,2:1,CF,90'+6,2:1,Penalty,Not Applicable,2019/20,2010s,1,76-90
Serie A ,14,01/12/19,Home,Juventus FC,US Sassuolo,2:2,CF,68',2:2,Penalty,Not Applicable,2019/20,2010s,1,61-75
Serie A ,15,07/12/19,Away,Juventus FC,SS Lazio,3:1,CF,25',0:1,Tap-in,Rodrigo Bentancur,2019/20,2010s,0,16-30
UEFA Champions League ,Group Stage,11/12/19,Away,Juventus FC,Bayer 04 Leverkusen,0:2,CF,75',0:1,Right-footed shot,Paulo Dybala,2019/20,2010s,0,61-75
Serie A ,16,15/12/19,Home,Juventus FC,Udinese Calcio,3:1,CF,9',1:0,Right-footed shot,Not Applicable,2019/20,2010s,1,01-15
Serie A ,16,15/12/19,Home,Juventus FC,Udinese Calcio,3:1,CF,37',2:0,Left-footed shot,Gonzalo Higuaín,2019/20,2010s,1,31-45
Serie A ,17,18/12/19,Away,Juventus FC,UC Sampdoria,1:2,CF,45',1:2,Header,Alex Sandro,2019/20,2010s,0,31-45
Serie A ,18,06/01/20,Home,Juventus FC,Cagliari Calcio,4:0,CF,49',1:0,Right-footed shot,Not Applicable,2019/20,2020s,1,46-60
Serie A ,18,06/01/20,Home,Juventus FC,Cagliari Calcio,4:0,CF,67',2:0,Penalty,Not Applicable,2019/20,2020s,1,61-75
Serie A ,18,06/01/20,Home,Juventus FC,Cagliari Calcio,4:0,CF,82',4:0,Left-footed shot,Douglas Costa,2019/20,2020s,1,76-90
Serie A ,19,12/01/20,Away,Juventus FC,AS Roma,1:2,CF,10',0:2,Penalty,Not Applicable,2019/20,2020s,0,01-15
Serie A ,20,19/01/20,Home,Juventus FC,Parma Calcio 1913,2:1,CF,43',1:0,Deflected shot on goal,Blaise Matuidi,2019/20,2020s,1,31-45
Serie A ,20,19/01/20,Home,Juventus FC,Parma Calcio 1913,2:1,CF,58',2:1,Right-footed shot,Paulo Dybala,2019/20,2020s,1,46-60
Italy Cup ,Quarter-Finals,22/01/20,Home,Juventus FC,AS Roma,3:1,LW,26',1:0,Left-footed shot,Gonzalo Higuaín,2019/20,2020s,1,16-30
Serie A ,21,26/01/20,Away,Juventus FC,SSC Napoli,2:1,CF,90',2:1,Right-footed shot,Rodrigo Bentancur,2019/20,2020s,0,76-90
Serie A ,22,02/02/20,Home,Juventus FC,ACF Fiorentina,3:0,LW,40',1:0,Penalty,Not Applicable,2019/20,2020s,1,31-45
Serie A ,22,02/02/20,Home,Juventus FC,ACF Fiorentina,3:0,LW,80',2:0,Penalty,Not Applicable,2019/20,2020s,1,76-90
Serie A ,23,08/02/20,Away,Juventus FC,Hellas Verona,2:1,LW,65',0:1,Right-footed shot,Rodrigo Bentancur,2019/20,2020s,0,61-75
Italy Cup ,Semi-Finals,13/02/20,Away,Juventus FC,AC Milan,1:1,LW,90'+1,1:1,Penalty,Not Applicable,2019/20,2020s,0,76-90
Serie A ,25,22/02/20,Away,Juventus FC,SPAL,1:2,LW,39',0:1,Tap-in,Juan Cuadrado,2019/20,2020s,0,31-45
Serie A ,27,22/06/20,Away,Juventus FC,Bologna FC 1909,0:2,LW,23',0:1,Penalty,Not Applicable,2019/20,2020s,0,16-30
Serie A ,28,26/06/20,Home,Juventus FC,US Lecce,4:0,LW,62',2:0,Penalty,Not Applicable,2019/20,2020s,1,61-75
Serie A ,29,30/06/20,Away,Juventus FC,Genoa CFC,1:3,LW,56',0:2,Long distance kick,Miralem Pjanić,2019/20,2020s,0,46-60
Serie A ,30,04/07/20,Home,Juventus FC,Torino FC,4:1,LW,61',3:1,Direct free kick,Not Applicable,2020/21,2020s,1,61-75
Serie A ,31,07/07/20,Away,Juventus FC,AC Milan,4:2,LW,53',0:2,Left-footed shot,Juan Cuadrado,2020/21,2020s,0,46-60
Serie A ,32,11/07/20,Home,Juventus FC,Atalanta BC,2:2,LW,55',1:1,Penalty,Not Applicable,2020/21,2020s,1,46-60
Serie A ,32,11/07/20,Home,Juventus FC,Atalanta BC,2:2,LW,90',2:2,Penalty,Not Applicable,2020/21,2020s,1,76-90
Serie A ,34,20/07/20,Home,Juventus FC,SS Lazio,2:1,LW,51',1:0,Penalty,Not Applicable,2020/21,2020s,1,46-60
Serie A ,34,20/07/20,Home,Juventus FC,SS Lazio,2:1,LW,54',2:0,Counter attack goal,Paulo Dybala,2020/21,2020s,1,46-60
Serie A ,36,26/07/20,Home,Juventus FC,UC Sampdoria,2:0,LW,45'+7,1:0,Right-footed shot,Miralem Pjanić,2020/21,2020s,1,31-45
UEFA Champions League ,Round of 16,07/08/20,Home,Juventus FC,Olympique Lyon,2:1,LW,43',1:1,Penalty,Not Applicable,2020/21,2020s,1,31-45
UEFA Champions League ,Round of 16,07/08/20,Home,Juventus FC,Olympique Lyon,2:1,LW,60',2:1,Left-footed shot,Federico Bernardeschi,2020/21,2020s,1,46-60
Serie A ,1,20/09/20,Home,Juventus FC,UC Sampdoria,3:0,CF,88',3:0,Right-footed shot,Aaron Ramsey,2020/21,2020s,1,76-90
Serie A ,2,27/09/20,Away,Juventus FC,AS Roma,2:2,CF,44',1:1,Penalty,Not Applicable,2020/21,2020s,0,31-45
Serie A ,2,27/09/20,Away,Juventus FC,AS Roma,2:2,CF,69',2:2,Header,Danilo,2020/21,2020s,0,61-75
Serie A ,6,01/11/20,Away,Juventus FC,Spezia Calcio,1:4,CF,59',1:2,Right-footed shot,Álvaro Morata,2020/21,2020s,0,46-60
Serie A ,6,01/11/20,Away,Juventus FC,Spezia Calcio,1:4,CF,76',1:4,Penalty,Not Applicable,2020/21,2020s,0,76-90
Serie A ,7,08/11/20,Away,Juventus FC,SS Lazio,1:1,LW,15',0:1,Right-footed shot,Juan Cuadrado,2020/21,2020s,0,01-15
Serie A ,8,21/11/20,Home,Juventus FC,Cagliari Calcio,2:0,CF,38',1:0,Right-footed shot,Álvaro Morata,2020/21,2020s,1,31-45
Serie A ,8,21/11/20,Home,Juventus FC,Cagliari Calcio,2:0,CF,42',2:0,Right-footed shot,Merih Demiral,2020/21,2020s,1,31-45
UEFA Champions League ,Group Stage,24/11/20,Home,Juventus FC,Ferencvárosi TC,2:1,CF,35',1:1,Left-footed shot,Juan Cuadrado,2020/21,2020s,1,31-45
UEFA Champions League ,Group Stage,02/12/20,Home,Juventus FC,Dynamo Kyiv,3:0,CF,57',2:0,Right-footed shot,Álvaro Morata,2020/21,2020s,1,46-60
UEFA Champions League ,Group Stage,08/12/20,Away,Juventus FC,FC Barcelona,0:3,CF,13',0:1,Penalty,Not Applicable,2020/21,2020s,0,01-15
UEFA Champions League ,Group Stage,08/12/20,Away,Juventus FC,FC Barcelona,0:3,CF,52',0:3,Penalty,Not Applicable,2020/21,2020s,0,46-60
Serie A ,11,13/12/20,Away,Juventus FC,Genoa CFC,1:3,CF,78',1:2,Penalty,Not Applicable,2020/21,2020s,0,76-90
Serie A ,11,13/12/20,Away,Juventus FC,Genoa CFC,1:3,CF,89',1:3,Penalty,Not Applicable,2020/21,2020s,0,76-90
Serie A ,13,19/12/20,Away,Juventus FC,Parma Calcio 1913,0:4,CF,26',0:2,Header,Álvaro Morata,2020/21,2020s,0,16-30
Serie A ,13,19/12/20,Away,Juventus FC,Parma Calcio 1913,0:4,CF,48',0:3,Left-footed shot,Aaron Ramsey,2020/21,2020s,0,46-60
Serie A ,15,03/01/21,Home,Juventus FC,Udinese Calcio,4:1,CF,31',1:0,Right-footed shot,Aaron Ramsey,2020/21,2020s,1,31-45
Serie A ,15,03/01/21,Home,Juventus FC,Udinese Calcio,4:1,CF,70',3:0,Left-footed shot,Rodrigo Bentancur,2020/21,2020s,1,61-75
Serie A ,17,10/01/21,Home,Juventus FC,US Sassuolo,3:1,CF,90'+2,3:1,Right-footed shot,Danilo,2020/21,2020s,1,76-90
Supercoppa Italiana ,Final,20/01/21,Home,Juventus FC,SSC Napoli,2:0,CF,64',1:0,Tap-in,Not Applicable,2020/21,2020s,1,61-75
Italy Cup ,Semi-Finals,02/02/21,Away,Juventus FC,Inter Milan,1:2,CF,26',1:1,Penalty,Not Applicable,2020/21,2020s,0,16-30
Italy Cup ,Semi-Finals,02/02/21,Away,Juventus FC,Inter Milan,1:2,CF,35',1:2,Left-footed shot,Not Applicable,2020/21,2020s,0,31-45
Serie A ,21,06/02/21,Home,Juventus FC,AS Roma,2:0,CF,13',1:0,Left-footed shot,Álvaro Morata,2020/21,2020s,1,01-15
Serie A ,23,22/02/21,Home,Juventus FC,FC Crotone,3:0,CF,38',1:0,Header,Alex Sandro,2020/21,2020s,1,31-45
Serie A ,23,22/02/21,Home,Juventus FC,FC Crotone,3:0,CF,45'+1,2:0,Header,Aaron Ramsey,2020/21,2020s,1,31-45
Serie A ,24,27/02/21,Away,Juventus FC,Hellas Verona,1:1,CF,49',0:1,Right-footed shot,Federico Chiesa,2020/21,2020s,0,46-60
Serie A ,25,02/03/21,Home,Juventus FC,Spezia Calcio,3:0,CF,89',3:0,Counter attack goal,Rodrigo Bentancur,2020/21,2020s,1,76-90
Serie A ,27,14/03/21,Away,Juventus FC,Cagliari Calcio,1:3,CF,10',0:1,Header,Juan Cuadrado,2020/21,2020s,0,01-15
Serie A ,27,14/03/21,Away,Juventus FC,Cagliari Calcio,1:3,CF,25',0:2,Penalty,Not Applicable,2020/21,2020s,0,16-30
Serie A ,27,14/03/21,Away,Juventus FC,Cagliari Calcio,1:3,CF,32',0:3,Left-footed shot,Federico Chiesa,2020/21,2020s,0,31-45
Serie A ,29,03/04/21,Away,Juventus FC,Torino FC,2:2,CF,79',2:2,Header,Giorgio Chiellini,2020/21,2020s,0,76-90
Serie A ,3,07/04/21,Home,Juventus FC,SSC Napoli,2:1,CF,13',1:0,Right-footed shot,Federico Chiesa,2020/21,2020s,1,01-15
Serie A ,34,02/05/21,Away,Juventus FC,Udinese Calcio,1:2,CF,83',1:1,Penalty,Not Applicable,2020/21,2020s,0,76-90
Serie A ,34,02/05/21,Away,Juventus FC,Udinese Calcio,1:2,CF,89',1:2,Header,Adrien Rabiot,2020/21,2020s,0,76-90
Serie A ,36,12/05/21,Away,Juventus FC,US Sassuolo,1:3,CF,45',0:2,Left-footed shot,Adrien Rabiot,2020/21,2020s,0,31-45
Serie A ,37,15/05/21,Home,Juventus FC,Inter Milan,3:2,CF,24',1:0,Penalty rebound,Not Applicable,2020/21,2020s,1,16-30
Premier League ,4,11/09/21,Home,Manchester United,Newcastle United,4:1,CF,45'+2,1:0,Tap-in,Not Applicable,2021/22,2020s,1,31-45
Premier League ,4,11/09/21,Home,Manchester United,Newcastle United,4:1,CF,62',2:1,Left-footed shot,Luke Shaw,2021/22,2020s,1,61-75
UEFA Champions League ,Group Stage,14/09/21,Away,Manchester United,BSC Young Boys,2:1,CF,13',0:1,Right-footed shot,Bruno Fernandes,2021/22,2020s,0,01-15
Premier League ,5,19/09/21,Away,Manchester United,West Ham United,1:2,CF,35',1:1,Right-footed shot,Not Applicable,2021/22,2020s,0,31-45
UEFA Champions League ,Group Stage,29/09/21,Home,Manchester United,Villarreal CF,2:1,CF,90'+5,2:1,Right-footed shot,Jesse Lingard,2021/22,2020s,1,76-90
UEFA Champions League ,Group Stage,20/10/21,Home,Manchester United,Atalanta BC,3:2,CF,81',3:2,Header,Luke Shaw,2021/22,2020s,1,76-90
Premier League ,10,30/10/21,Away,Manchester United,Tottenham Hotspur,0:3,CF,39',0:1,Right-footed shot,Bruno Fernandes,2021/22,2020s,0,31-45
UEFA Champions League ,Group Stage,02/11/21,Away,Manchester United,Atalanta BC,2:2,CF,45'+1,1:1,Right-footed shot,Bruno Fernandes,2021/22,2020s,0,31-45
UEFA Champions League ,Group Stage,02/11/21,Away,Manchester United,Atalanta BC,2:2,CF,90'+1,2:2,Right-footed shot,Mason Greenwood,2021/22,2020s,0,76-90
UEFA Champions League ,Group Stage,23/11/21,Away,Manchester United,Villarreal CF,0:2,CF,78',0:1,Right-footed shot,Not Applicable,2021/22,2020s,0,76-90
Premier League ,14,02/12/21,Home,Manchester United,Arsenal FC,3:2,CF,52',2:1,Right-footed shot,Marcus Rashford,2021/22,2020s,1,46-60
Premier League ,14,02/12/21,Home,Manchester United,Arsenal FC,3:2,CF,70',3:2,Penalty,Not Applicable,2021/22,2020s,1,61-75
Premier League ,16,11/12/21,Away,Manchester United,Norwich City,0:1,CF,75',0:1,Penalty,Not Applicable,2021/22,2020s,0,61-75
Premier League ,20,30/12/21,Home,Manchester United,Burnley FC,3:1,CF,35',3:0,Right-footed shot,Not Applicable,2021/22,2020s,1,31-45
Premier League ,18,15/02/22,Home,Manchester United,Brighton &amp; Hove Albion,2:0,CF,51',1:0,Right-footed shot,Scott McTominay,2021/22,2020s,1,46-60
Premier League ,29,12/03/22,Home,Manchester United,Tottenham Hotspur,3:2,CF,12',1:0,Right-footed shot,Fred,2021/22,2020s,1,01-15
Premier League ,29,12/03/22,Home,Manchester United,Tottenham Hotspur,3:2,CF,38',2:1,Right-footed shot,Jadon Sancho,2021/22,2020s,1,31-45
Premier League ,29,12/03/22,Home,Manchester United,Tottenham Hotspur,3:2,CF,81',3:2,Header,Alex Telles,2021/22,2020s,1,76-90
Premier League ,33,16/04/22,Home,Manchester United,Norwich City,3:2,CF,7',1:0,Right-footed shot,Anthony Elanga,2021/22,2020s,1,01-15
Premier League ,33,16/04/22,Home,Manchester United,Norwich City,3:2,CF,32',2:0,Header,Alex Telles,2021/22,2020s,1,31-45
Premier League ,33,16/04/22,Home,Manchester United,Norwich City,3:2,CF,76',3:2,Direct free kick,Not Applicable,2021/22,2020s,1,76-90
Premier League ,34,23/04/22,Away,Manchester United,Arsenal FC,3:1,CF,34',2:1,Left-footed shot,Nemanja Matić,2021/22,2020s,0,31-45
Premier League ,37,28/04/22,Home,Manchester United,Chelsea FC,1:1,CF,62',1:1,Right-footed shot,Nemanja Matić,2021/22,2020s,1,61-75
Premier League ,35,02/05/22,Home,Manchester United,Brentford FC,3:0,CF,61',2:0,Penalty,Not Applicable,2021/22,2020s,1,61-75
Europa League ,Group Stage,15/09/22,Away,Manchester United,FC Sheriff Tiraspol,0:2,CF,39',0:2,Penalty,Not Applicable,2022/23,2020s,0,31-45
Premier League ,10,09/10/22,Away,Manchester United,Everton FC,1:2,CF,44',1:2,Counter attack goal,Casemiro,2022/23,2020s,0,31-45
Europa League ,Group Stage,27/10/22,Home,Manchester United,FC Sheriff Tiraspol,3:0,CF,81',3:0,Left-footed shot,Not Applicable,2022/23,2020s,1,76-90
Saudi Pro League ,15,03/02/23,Away,Al-Nassr FC,Al-Fateh SC,2:2,CF,90'+3,2:2,Penalty,Not Applicable,2022/23,2020s,0,76-90
Saudi Pro League ,16,09/02/23,Away,Al-Nassr FC,Al-Wehda FC,0:4,CF,21',0:1,Left-footed shot,Abdulrahman Ghareeb,2022/23,2020s,0,16-30
Saudi Pro League ,16,09/02/23,Away,Al-Nassr FC,Al-Wehda FC,0:4,CF,40',0:2,Right-footed shot,Sami Al-Najei,2022/23,2020s,0,31-45
Saudi Pro League ,16,09/02/23,Away,Al-Nassr FC,Al-Wehda FC,0:4,CF,53',0:3,Penalty,Not Applicable,2022/23,2020s,0,46-60
Saudi Pro League ,16,09/02/23,Away,Al-Nassr FC,Al-Wehda FC,0:4,CF,61',0:4,Right-footed shot,Not Applicable,2022/23,2020s,0,61-75
Saudi Pro League ,18,25/02/23,Away,Al-Nassr FC,Damac FC,0:3,CF,18',0:1,Penalty,Not Applicable,2022/23,2020s,0,16-30
Saudi Pro League ,18,25/02/23,Away,Al-Nassr FC,Damac FC,0:3,CF,23',0:2,Left-footed shot,Sultan Al-Ghannam,2022/23,2020s,0,16-30
Saudi Pro League ,18,25/02/23,Away,Al-Nassr FC,Damac FC,0:3,CF,44',0:3,Counter attack goal,Ayman Yahya,2022/23,2020s,0,31-45
Saudi Pro League ,21,18/03/23,Home,Al-Nassr FC,Abha Club,2:1,CF,78',1:1,Direct free kick,Not Applicable,2022/23,2020s,1,76-90
Saudi Pro League ,22,04/04/23,Away,Al-Nassr FC,Al-Adalah FC,0:5,CF,40',0:1,Penalty,Not Applicable,2022/23,2020s,0,31-45
Saudi Pro League ,22,04/04/23,Away,Al-Nassr FC,Al-Adalah FC,0:5,CF,66',0:3,Left-footed shot,Talisca,2022/23,2020s,0,61-75
Saudi Pro League ,24,28/04/23,Home,Al-Nassr FC,Al-Raed SFC,4:0,CF,4',1:0,Header,Sultan Al-Ghannam,2022/23,2020s,1,01-15
